evtID,CutID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh 
0,31,-0.000200,-0.000498,0.114516,0.010331,-0.002354,-0.002624,0.005979,-0.008499 
1,32,-0.000200,-0.000498,0.115627,0.005508,-0.008940,-0.008738,0.019564,-0.008499 
2,31,-0.000200,-0.000498,0.113799,0.012355,-0.001000,-0.000955,0.005979,-0.008499 
3,38,-0.000200,-0.000498,0.118469,0.007224,0.000248,-0.001454,-0.000813,-0.006047 
4,31,-0.000200,-0.000498,0.114160,0.011637,-0.002637,-0.002899,0.005979,-0.008499 
5,54,-0.000200,-0.000498,0.147828,-0.011129,-0.019170,-0.001950,0.033149,0.003330 
6,38,-0.000200,-0.000498,0.095448,0.008054,-0.000067,-0.002224,-0.000813,-0.006047 
7,30,-0.000200,-0.000498,0.120800,0.011322,0.000400,-0.001841,-0.007606,-0.008499 
8,59,-0.000200,-0.000498,0.118980,-0.008564,-0.000897,0.000965,-0.000813,0.006455 
9,45,-0.000200,-0.000498,0.120165,-0.001220,-0.001162,-0.000216,-0.000813,0.000204 
10,32,-0.000200,-0.000498,0.115131,0.006339,-0.007240,-0.006486,0.019564,-0.008499 
11,31,-0.000200,-0.000498,0.067100,0.007645,-0.003840,-0.006727,0.005979,-0.008499 
12,26,-0.000200,-0.000498,0.112831,0.006551,-0.010381,-0.010838,0.026357,-0.010950 
13,52,-0.000200,-0.000498,0.109552,-0.003957,-0.003351,0.001319,0.005979,0.003330 
14,25,-0.000200,-0.000498,0.109716,0.012527,-0.002978,-0.006107,0.012772,-0.010950 
15,32,-0.000200,-0.000498,0.111533,0.007768,-0.007043,-0.007227,0.019564,-0.008499 
16,23,-0.000200,-0.000498,0.126349,0.014131,0.003536,-0.002927,-0.014398,-0.010950 
17,49,-0.000200,-0.000498,0.108590,-0.011827,0.014941,-0.003139,-0.034775,0.003330 
18,67,-0.000200,-0.000498,0.128925,-0.016046,-0.006705,0.006889,0.012772,0.012706 
19,22,-0.000200,-0.000498,0.133592,0.009172,0.007054,-0.006676,-0.027983,-0.010950 
20,45,-0.000200,-0.000498,0.119574,-0.001180,0.000320,-0.000360,-0.000813,0.000204 
